src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
How China is lessening its reliance on helium sourced from US	कसे चीन अमेरिकेतून हेलियमची आधी घाती कमी करीत आहे, हे कसे आहे?	चीन अमेरिकेतून मिळणाऱ्या हीलियमवरील आपला अवलंब कमी कसा करत आहेत?	चीन अमेरिकेकडून मिळवलेल्या हेलियमवरील अवलंबन कमी करीत आहेत.
Kindle Colorsoft owners complain of a yellow bar on the e-reader’s screen	किंडल कलरसॉफ्ट व्यावसायिकांनी ई-रीडरच्या स्क्रीनवर पिवळा बार असल्याच्या तक्रार केल्या आहेत.	Kindle Colorsoft चे मालक ई-रीडरच्या स्क्रीनवर पिवळी पट्टी दिसल्याची तक्रार करतात.	कलरसॉफ्ट मालकांना ई-रीडरच्या स्क्रीनवर पिवळा बार याबद्दल तक्रार आहे.
Nvidia and its partners built a sophisticated system to bypass U.S. restrictions on exporting AI chips to the Middle East, Russia, and China.	न्विडिया आणि त्याचे साथीं अमेरिकेला ए.आय. चिप्सना मध्य पूर्व, रशिया आणि चीनला निर्यात करण्याच्या मर्यादांवर पार पडण्यासाठी एक उन्नत प्रणाली तयार केली.	Nvidia आणि त्यांच्या भागीदारांनी मध्य पूर्व, रशिया आणि चीनला AI चिप्स निर्यात करण्यावर असलेल्या यू.एस. मर्यादांना बगल देण्यासाठी एक अत्याधुनिक प्रणाली तयार केली आहे.	एन्वीडिया आणि त्यांचे साथीदारांनी अमेरिकेच्या मध्य पूर्व, रशिया आणि चीनला एआय चिप्स निर्यात करण्यावरील निर्बंध टाळण्यासाठी एक सुसज्जित व्यवस्था बांधली.
The funding, which will top up the firm’s flagship fund, will be raised primarily from institutional investors. 	संस्थांनी मुख्य निधीत कंपनीच्या प्रमुख निधीत वाढवणारी निधी जुळवणार आहे.	या निधीमुळे कंपनीच्या प्रमुख निधीमध्ये वाढ होईल आणि तो मुख्यत्वे संस्थात्मक गुंतवणूकदारांकडून उभारला जाईल.	ते निधी जे कंपनीच्या प्रमुख निधीस पूरक होतील, ते प्रामुख्याने संस्थात्मक गुंतवणूकदारांकडून उभारले जातील.
US Forest Service Decision to Halt Prescribed Burns in California is History Repeating	अमेरिकेच्या वन सेवेच्या निर्णयाने कॅलिफोर्नियातील प्रिस्क्रायब्ड बर्न्सवर थांबवण्याचा इतिहास पुन्हा अवघे करणार आहे.	अमेरिकेतील वन सेवा विभागाचा कॅलिफोर्नियामध्ये नियोजित आगींना थांबवण्याचा निर्णय हा इतिहासाची पुनरावृत्ती आहे.	अमेरिकेच्या वन सेवा विभागाने कॅलिफोर्नियामध्ये नियोजित अग्नि नियंत्रण कार्यक्रम थांबविण्याचा निर्णय इतिहासाची पुनरावृत्ती आहे.
The man who gave us the solution to the Entscheidungsproblem	आपल्याला Entscheidungsproblem समस्येचे निराकरण दिलेल्या व्यक्ती.	निर्णय समस्या सोडविण्याचे समाधान आम्हाला दिलेल्या व्यक्ती.	त्या मान्यांनी ज्यांनी आम्हाला Entscheidungsproblem चे उत्तर दिले
The shift in policy, covering government agencies and contractors working on national security, is intended to promote “responsible and ethical” innovations, the company said.	"सरकारची संस्था आणि राष्ट्रीय सुरक्षा वर कार्य करणारे ठेकेदार यांच्यावर लागू केलेल्या धोरणातील बदलाचा उद्दिष्ट उद्या म्हणते की ""जबाबदार आणि नैतिक"" नवीनतमपणे प्रोत्साहित करण्यात आले आहे."	"""शासकीय यंत्रणा आणि राष्ट्रीय सुरक्षेवर काम करणाऱ्या कंत्राटदारांना व्यापणाऱ्या धोरणातील बदल “जबाबदार आणि नैतिक” नवोपक्रमांना प्रोत्साहन देण्यासाठी आहे, असे कंपनीने म्हटले आहे."""	"कंपनीने सांगितले की, राष्ट्रीय सुरक्षेसाठी काम करणाऱ्या सरकारी संस्था आणि ठेकेदारांना व्यापत असलेली धोरणातील बदल ""जवाबदार आणि नैतिक"" नवकल्पनांना प्रोत्साहन देण्यासाठी आहे."
China reveals a new heavy lift rocket that is a clone of SpaceX’s Starship	चीनाने एक नवीन मोठ्या उच्च उडीद रॉकेट उघडली आहे, ज्याची SpaceXच्या स्टारशिपची क्लोन आहे.	चीनने SpaceX च्या स्टारशिपच्या प्रतिकृतीसारखा एक नवीन अवजड लिफ्ट रॉकेट उघड केला आहे.	चीनाने स्पेसएक्सच्या स्टारशिपचा क्लोन असलेला नवा भारी लिफ्ट रॉकेट उघडकीस आणला आहे.
Singapore requires vehicle owners to bid for a set number of Certificates of Entitlement – costly operating permits valid for only ten years.	सिंगापूरमध्ये वाहनांच्या मालकांना दस वर्षांसाठी मान्य असलेल्या उचित परवाने विकत घेण्याची आवश्यकता आहे - प्रमुख कार्य परवाने.	सिंगापूरमध्ये वाहन मालकांना मर्यादित संख्येच्या हक्क प्रमाणपत्रांसाठी लिलाव करावा लागतो - हे खर्चिक चालविण्याचे परवाने फक्त दहा वर्षांसाठी वैध असतात.	सिंगापूरमध्ये वाहन मालकांना दहा वर्षांच्या कालावधीसाठी वैध असलेल्या कार्यान्वित परवानग्यांच्या प्रमाणात प्रमाणपत्रे मिळविण्यासाठी बोली लावणे आवश्यक आहे.
The Hwasong-19 is North Korea’s biggest missile yet and its test comes during a time of notable tensions on the peninsula.	ह्वासोंग-19 उत्तर कोरियाचा सर्वात मोठा पारेशाण आहे आणि त्याची चाचणी किनारपट्टीवरील लक्षणांच्या काळात होते.	ह्वासॉंग-१९ हा उत्तर कोरियाचा आतापर्यंतचा सर्वात मोठा क्षेपणास्त्र आहे आणि त्याची चाचणी द्वीपकल्पावर उल्लेखनीय तणावाच्या काळात झाली आहे.	ह्वासोंग-१९ हे उत्तर कोरियाचे सर्वात मोठे क्षेपणास्त्र आहे आणि त्याची चाचणी पेनिन्सुलावरील उल्लेखनीय तणावाच्या काळात होत आहे.
The species may have been carried to the Sacramento–San Joaquin Delta in ballast water on ships	जातींचे गोटाळ्यातील पाण्याने जलयानांवर वाहून सॅक्रामेंटो-सॅन जोआकिन डेल्टात जाऊ शकते.	प्रजातींना जहाजांवरील पाण्याच्या संतुलनाद्वारे सॅक्रामेंटो-सॅन जोआक्विन डेल्टा येथे नेले गेले असावे.	जाती त्यांना शिप्सच्या बॅलस्ट वॉटरमध्ये सॅक्रामेंटो-सॅन जोक्विन डेल्टामध्ये नेल्या असण्याची शक्यता आहे.
Discovery partnered with PR firm Relevance International to produce ultra-luxury experiences and products under the banner of fictionaire billionaire Bruce Wayne’s conglomerate.	डिस्कव्हरीने पीआर फर्म रिलेव्हेन्स इंटरनॅशनलसोबत सहकार्य केले आहे, त्याने उल्ट्रा-लक्झरी अनुभव आणि उत्पादन ब्रूस वेनच्या संघटनेच्या धडधडीच्या ध्वनिविद बिलियनेअर ब्रूस वेनच्या संघटनेच्या धडधडीच्या व्यापारांच्या ताबडतोब्डे उत्पादन केले आहे.	डिस्कव्हरीने पीआर फर्म रिलेव्हन्स इंटरनॅशनलसोबत भागीदारी केली आहे ज्यामुळे काल्पनिक अब्जाधीश ब्रूस वेन यांच्या समूहाच्या नावाखाली अल्ट्रा-लक्झरी अनुभव आणि उत्पादने तयार केली जाऊ शकतील.	शोधाने रिलेव्हन्स इंटरनॅशनल या पीआर फर्मच्या साथीने फिक्शनेर बिलियनेर ब्रुस वेनच्या काँग्लोमरेटच्या बॅनरखाली अतिउच्च लक्झरी अनुभव आणि उत्पादने तयार केली.
Water utilities and chemical manufacturers are challenging the new EPA standards. 	पाणी सेवाप्रदात्यांच्या आणि रासायनिक उत्पादकांच्या बाबीत नवीन EPA मानकांचा संघर्ष आहे.	पाण्याच्या सेवासुविधा आणि रासायनिक उत्पादक नवीन EPA मानकांना आव्हान देत आहेत.	पाणी सुविधा आणि रासायनिक उत्पादक त्यांच्या नवीन ईपीए स्टँडर्ड्सचे आव्हान करत आहेत.
A radio station in Poland fired its on-air talent and brought in A.I.-generated presenters. An outcry over a purported chat with a Nobel laureate quickly ended that experiment.	पोलंडमधील एक रेडियो स्टेशनने आपल्या ऑन-एअर प्रतिभा नोकरी दूर केली आणि ए.आय.-ने उत्पन्न केलेल्या प्रस्तुतकर्त्यांना प्रवेश केलं. नोबेल विजेत्याशी संवाद करण्याच्या गोष्टीच्या कारणाने चाळणी उदंड झाली.	पोलंडमधील एका रेडिओ स्टेशनने त्यांच्या ऑन-एअर टॅलेंटला कामावरून काढून टाकले आणि A.I.-जनरेट केलेले प्रस्तुतकर्ता आणले. एका नोबेल पुरस्कार विजेत्या व्यक्तीसोबत झालेल्या चर्चेच्या कथित प्रकरणावरून झालेल्या तीव्र प्रतिक्रिया नंतर त्या प्रयोगाची लवकरच समाप्ती झाली.	पोलंडमधील एक रेडिओ स्टेशनने त्यांचे ऑन-एअर प्रतिभावान कलाकारांना कामावरून काढून टाकले आणि एआय-जनरेटेड संचालकांना आणले. नोबेल पुरस्कार विजेत्याशी झालेल्या संभाव्य संवादावरून त्वरित त्या प्रयोगाला अंत केला.
From infancy, children show heightened interest in events that are impossible or improbable, relative to likely events.	शिशुवयातीलपासून, लवकरात घडव्यात आणि असंभाव्य घडवयात, तुलनात्मकपर्यंत शिशुंनी उच्च आकर्षण दाखवतात.	लहानपणापासून, मुले अशक्य किंवा अशक्यप्राय घटनांमध्ये, शक्य घटनांच्या तुलनेत, अधिक रुची दाखवतात.	बालपणापासून, ते मुले असंभव किंवाल्पसंभव घटनांमध्ये वाढीव स्वारस्य दाखवतात, संभाव्य घटनांच्या तुलनेत.
Four persons were referred to hospital and the rest were treated as outpatients at the event venue, police sources said.	फोटोग्राफरांनी म्हणालं की चार व्यक्ती रुग्णालयात पाठविले गेले आणि शिल्लक स्थळावर उपचार केले गेले, पोलीस स्रोतांनी सांगितलं.	चार व्यक्तींना रुग्णालयात पाठविण्यात आले आणि उर्वरित व्यक्तींवर कार्यक्रम स्थळी बाह्य रुग्ण म्हणून उपचार करण्यात आले, असे पोलिस सूत्रांनी सांगितले.	चार व्यक्ती रुग्णालयात दाखल करण्यात आले आणि उर्वरीतांना स्थानिक स्थलावर बाह्य रुग्ण म्हणून व्यवस्था करण्यात आली, पोलीस स्रोतांनी सांगितले.
During investigation, the Washermenpet police found that he was attacked by three persons with stones and beer bottles while he was consuming alcohol.	तपशीलात, वाशरमेनपेट पोलिसांनी त्याला दारू प्यायला असताना तीन व्यक्त्यांद्वारे दागडीं आणि बियरच्या बोतल्यांकडून हल्ला केलेले आहे, असं आढळवून घेतलं.	चौकशीदरम्यान, वॉशरमेनपेट पोलिसांनी असे आढळून आले की, तो मद्यपान करत असताना त्यांच्यावर तीन व्यक्तींनी दगड आणि बिअरच्या बाटल्यांनी हल्ला केला.	तपासणीदरम्यान, वाशेरमेनपेटच्या पोलिसांनी असे आढळून आले की त्याला तीन व्यक्तींनी दगडांनी व बियरच्या बॉटलनी त्याच्या मद्यपान करत असताना हल्ला केला होता.
Two juvenile boys who were lodged at the Government Observation Home in Chengalpattu escaped on Tuesday night.	दुर्वयस्क दोघांना ज्यांच्यावर सरकारी अवलोकन घर, चेंगलपट्टूत ठेवले होते, त्यांना मंगळवार रात्री फरार झाले.	चेंगलपट्टू येथील सरकारी निरीक्षण गृहात ठेवलेले दोन किशोरवयीन मुले मंगळवारी रात्री पळून गेली.	दोन तरुण मुले जे चेंगलपट्टू येथील सरकारी निरीक्षण गृहात ठेवण्यात होते त्यांनी मंगळवार रात्री पलायन केले.
During Mr. Gandhi’s Srinagar stay, men disembarked from cars on Boulevard road to hug him.	गांधी सरकार्यालयाच्या सृनगर राहण्याच्या काळात, बुलेवार्ड रोडवरील कारांतून उतरून त्यांना आलंय.	श्री गांधींच्या श्रीनगर भेटीदरम्यान, बुलेवार्ड रस्त्यावर कारमधून उतरून पुरुषांनी त्यांना मिठी मारली.	श्री गांधींच्या श्रीनगर वास्तव्यादरम्यान, त्यांच्या Boulevard रस्त्यावरील गाड्यांमधून उतरलेल्या महानुभावांनी त्यांचे आलिंगन केले.
They alleged that several brick kilns started selling old stocks of bricks from Wednesday after paying the first instalment of the fine levied on them by the Geology and Mining Department.	त्यांनी दावा केलं की काही ईंटघरांनी बुधवारपासून जीवशास्त्र आणि खाणी विभागाने त्यांवर लागू केलेल्या दंडाची पहिली किश्ती भरून, जुन्या स्टॉक्सची विक्री सुरू केली.	त्यांनी असा आरोप केला की, भूविज्ञान आणि खनन विभागाने त्यांच्यावर लादलेल्या दंडाच्या पहिल्या हप्त्याचा भरणा केल्यानंतर अनेक वीटभट्ट्यांनी बुधवारपासून जुन्या वीटा विकण्यास सुरुवात केली.	त्यांनी आरोप केला की विभागाने त्यांच्यावर लादलेल्या दंडाचा पहिला हप्ता भरल्यानंतर बुधवारपासून काही इटक्या भट्ट्यांनी जुन्या इटक्यांच्या साठ्याची विक्री सुरू केली.
Ten Indian career diplomats, who are High Commissioners or Ambassadors of India in other countries, called on Governor R.N. Ravi at the Raj Bhavan in Chennai on Monday.	हा सोमवारी भारतातील इतर देशांमध्ये भारताचे उच्च आयुक्त किंवा दूतकारांचे उच्चाधिकारी राजभवनात राज्यपाल आर.एन. रवींना भेट देण्यासाठी आले.	दहा भारतीय करिअर राजनयिक, जे इतर देशांतील भारताचे उच्चायुक्त किंवा राजदूत आहेत, यांनी सोमवारी चेन्नईमधील राजभवनात राज्यपाल आर.एन. रवी यांची भेट घेतली.	दहा भारतीय कारकून राजदूत, जे भारताचे इतर देशांतील उच्च आयुक्त किंवा राजदूत आहेत, त्यांनी सोमवारी चेन्नई येथील राजभवनात राज्यपाल आर.एन. रवींची भेट घेतली.
However, Dr. Hande, who wrote the foreword for her book and took part in some of these Assembly debates, says Muthu discharged her duty efficiently as a Minister with no room for corruption.	मागचं, डॉ. हांडे, ज्यांनी तिच्या पुस्तकासाठी अग्रपत्रिका लिहिली आणि काही सभेत भाग घेतलं, म्हणजे मुथू एक नेते म्हणूनच तिच्या कर्तव्यांचे उत्तमपणे पालन केले असून कोरप्शनसाठी कोणतेही जागा नसलेले असे म्हणतात.	तथापि, डॉ. हांडे, जे त्यांच्या पुस्तकासाठी प्रस्तावना लिहिली आणि या काही विधिमंडळातील चर्चांमध्ये सहभागी झाले, असे म्हणतात की मुथु यांनी मंत्रिपदाची जबाबदारी सक्षमपणे पार पाडली आणि भ्रष्टाचाराला कोणतीही संधी दिली नाही.	पण डॉक्टर हांडे यांनी, ज्यांनी तिच्या पुस्तकासाठी प्रस्तावना लिहिली आणि या विधानसभा चर्चेत सहभागी झाले, असे म्हणतात की मuthu यांनी त्यांचे मंत्री म्हणून कार्य कुशलतेने पार पाडले आणि भ्रष्टाचारासाठी कोणतीही जागा नव्हती.
While both Mr. Lobo and Mr. Kamat have cited disaffection with the Congress high command as reasons, the true reasons are all too transparent.	गेल्या वर्षी मा. लोबो आणि मा. कामट दोघांनी काँग्रेसच्या मुख्य संभागाशी असंतोष दिलेलं असं कारण म्हणताना, खरे कारण सर्वच अत्यंत स्पष्ट आहेत.	श्री लोबो आणि श्री कामत यांनी काँग्रेस उच्च कमांडबद्दल असंतोष व्यक्त केल्याचे कारण दिले असले तरी, खरे कारणे अत्यंत स्पष्ट आहेत.	त्या दोघांपैकी श्री लोबो आणि श्री कामत यांनी काँग्रेस उच्च नेतृत्वाशी असंतोष म्हणून कारणे दिली आहेत, परंतु खरी कारणे सर्वस्वी स्पष्ट आहेत.
The first festival celebrating the linguistic and cultural ties between the Barak Valley region of Assam and the Sylhet segment of Bangladesh began on Friday evening.	असमाच्या बरकव्हॅली क्षेत्र आणि बांग्लादेशच्या सिल्हेट विभागातील भाषावैज्ञानिक आणि सांस्कृतिक जडण्याचा पहिला उत्सव शुक्रवारी सायंकाळी सुरू झाला.	आसामच्या बाराक खोऱ्यातील आणि बांगलादेशातील सिल्हेट भागातील भाषिक आणि सांस्कृतिक संबंधांचा उत्सव साजरा करणारा पहिला महोत्सव शुक्रवार संध्याकाळी सुरू झाला.	पहिला उत्सव आसामच्या बराक व्हॅली प्रदेश आणि बांगलादेशच्या सिलहट विभागातील भाषिक आणि सांस्कृतिक संबंध साजरा करण्यास सुरुवात झाली शुक्रवार संध्याकाळी.
The objective of such markets is to incentivise investments in renewable energy sources.	त्याच्या बाजारांच्या उद्दिष्ट हे नवीन ऊर्जा संशोधनांतील निवेशांच्या प्रोत्साहित करणे आहे.	अशा बाजारांचे उद्दिष्ट नवीकरणीय ऊर्जा स्रोतांमध्ये गुंतवणुकीला प्रोत्साहन देणे हे आहे.	त्या बाजारपेठांचे उद्देश्य हे पुनर्नवीकरणीय ऊर्जा स्रोतांमध्ये गुंतवणुकीला प्रोत्साहन देणे आहे.
The Centre is expected to clarify, later this year, the specifics of a carbon trading market in India.	केंद्राने भारतातील कार्बन व्यापाराच्या विशिष्टता प्रस्तावित करण्याची अपेक्षा आहे, या वर्षी उद्या स्पष्टीकरण करण्याची अपेक्षा आहे.	या वर्षाच्या उत्तरार्धात केंद्र सरकार भारतातील कार्बन व्यापार बाजारपेठेच्या तपशीलांविषयी स्पष्टता देण्याची अपेक्षा आहे.	केंद्रीय प्राधिकारी या वर्षात उर्जा व्यापार बाजाराच्या तपशीलांबाबत स्पष्टीकरण देण्याची अपेक्षा आहे.
Hydrogen is an essential industrial fuel that has a range of uses from producing ammonia.	हायड्रोजन हे एक आवश्यक औद्योगिक ईंधन आहे ज्याचा वापर अमोनिया उत्पादन करण्यापासून तोडायचे असते.	हायड्रोजन हे एक अत्यावश्यक औद्योगिक इंधन आहे ज्याचा ॲमोनिया निर्मितीपासून विविध उपयोग आहे.	हायड्रोजन हे औद्योगिक इंधन आहे ज्याचा वापर अमोनिया तयार करण्यासाठी आणि इतर अनेक कार्यांसाठी होतो.
Finance Minister Nirmala Sitharaman on Saturday said that regulators would do their job.	वित्त मंत्री निर्मला सीतारमण शनिवारी यांनी म्हणाली की नियंत्रक त्यांचे काम करतील.	शनिवारी वित्त मंत्री निर्मला सीतारामन म्हणाल्या की नियामक त्यांचे काम करतील.	आर्थिक मंत्री निर्मला सीतारामन यांनी शनिवारी सांगितले की नियामक त्यांचे काम करणार आहेत.
Madras has received a grant of ₹242 crore to do research on laboratory-grown diamonds.	मद्रासला प्रयोगशाळेत उत्पन्न केलेल्या हीरे वर अनुसंधान करण्यासाठी ₹२४२ कोटीची अनुदान मिळाली आहे.	मद्रासला प्रयोगशाळेत तयार केलेल्या हिऱ्यांवर संशोधन करण्यासाठी ₹242 कोटींचा अनुदान प्राप्त झाला आहे.	मद्रासला लॅबोरेटरीवर वाढवलेल्या हिरवळींवर संशोधन करण्यासाठी २४२ कोटी रुपयांचा अनुदान मिळाला आहे.
Before Rao took leave after the meeting, MGR gently reminded him of the Cauvery water.	मैयनेगर मीटिंग नंतर राव छुट्टी घेताना, एमजीआर त्यांना कावेरीच्या पाण्याची सुचना दिली.	राव साहेबांनी बैठकीनंतर निरोप घेण्यापूर्वी, एमजीआर यांनी त्यांना कोकणाची पाणी परिस्थिती नम्रपणे आठवण करून दिली.	राव साहेबांनी बैठकीनंतर सुट्टी घेतल्यापूर्वी, एमजीआर साहेबांनी त्यांना कावेरी पाण्याबद्दल सावधान केले.
It is because of this initiative that Tamil Nadu became the centre of higher learning.	ह्या प्रयत्नाने तमिळनाडू ह्या शिक्षणाच्या केंद्र म्हणून बनलं.	याच उपक्रमामुळे तामिळनाडू उच्च शिक्षणाचे केंद्र बनले.	त्यामुळे तमिळनाडू उच्च शिक्षणाचे केंद्र झाले आहे.
However, within minutes after the then Prime Minister intervened.	पण, त्यानंतर केवळ काही मिनिटांत पूर्व पंतप्रधान व्यवस्थापित होते.	तथापि, त्या वेळचे पंतप्रधानांनी हस्तक्षेप केल्यानंतर काही मिनिटांत.	पण त्या वेळी प्रधानमंत्र्यांनी हस्तक्षेप केल्यानंतर काही मिनिटांत.
The initial shock following the Taliban’s seizure of power in Kabul is waning.	काबुलमध्ये तालिबानच्या सत्ताकडून प्रारंभिक अचं शोक कमी होत आहे.	काबूलमधील तालिबानच्या सत्ताबदलानंतरचा प्रारंभिक धक्का कमी होत आहे.	तालिबानच्या काबुलवरील सत्ता अधिग्रहणानंतरच्या प्रारंभिक स्तब्धता कमी होत आहे.
The greatest impact of denial of rights for women in the workforce would be a sharp contraction in the economy.	महिलांच्या कामकाजातील हक्कांची तिरस्कार करण्याचा सर्वात मोठा परिणाम अर्थव्यवस्थेत एक तीव्र संकुचिती येईल.	कामकाजाच्या ठिकाणी महिलांच्या हक्कांच्या नाकारण्याचा सर्वात मोठा परिणाम म्हणजे अर्थव्यवस्थेत तीव्र घट होईल.	महिलांच्या कार्यबलातील हक्कांच्या नाकारातून सर्वात मोठा परिणाम अर्थव्यवस्थेतील तीव्र संकुचन होईल.
The Taliban do not shy from leveraging the issue to gain international attention.	तालिबान आंतरराष्ट्रीय लक्षात प्राप्त करण्यासाठी या मुद्द्याचा वापर करण्यास नकार नकरतात.	तालिबान आंतरराष्ट्रीय लक्ष वेधून घेण्यासाठी या मुद्द्याचा फायदा घेण्यास मागेपुढे पाहत नाहीत.	तालिबान त्या प्रश्नाचा वापर आंतरराष्ट्रीय लक्षवेध मिळविण्यासाठी केला नाही.
In Jammu and Kashmir, the enrolment dropped sharply from 1.78 lakh in 2019-20 to 1.31 lakh in 2020-21.	जम्मू आणि काश्मीरात, २०१९-२० मध्ये १.७८ लाखपासून २०२०-२१ मध्ये १.३१ लाखपर्यंत नोंदणी कमी झाली.	जम्मू आणि काश्मीरमध्ये, 2019-20 मध्ये 1.78 लाखांवरून 2020-21 मध्ये 1.31 लाखांवर प्रवेश संख्या तीव्रपणे कमी झाली आहे.	जम्मू आणि काश्मीरमध्ये, त्यांची नोंदणी २०१९-२० मध्ये १.७८ लाख वरून २०२०-२१ मध्ये १.३१ लाख एवढी घसरली.
Senior advocate Meenakshi Arora made the oral mentioning for early hearing.	वरिष्ठ वकील मीनाक्षी आरोरा लोकार्पणासाठी वेळेची सुनवाईसाठी मौखिक उल्लेख केला.	वरिष्ठ वकील मीनाक्षी अरोरा यांनी प्रकरणाच्या लवकर सुनावणीसाठी मौखिक उल्लेख केला.	वरिष्ठ वकील मीनाक्षी अरोरा यांनी लवकर सुनावणीसाठी तोंडी निवेदन केले.
