idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans
813	[[0.91361463]]	The Defence Research and Development Organisation (DRDO) developed the missile.	संरक्षण संशोधन आणि विकास संस्था म्हणजेच डीआरडीओने (DRDO) हे क्षेपणास्त्र विकसीत केले आहे.	0.91361463	True	True	रक्षा संशोधन आणि विकास संघटन (डीआरडीओ) याने या अस्त्राची विकसन केली.	संरक्षण संशोधन आणि विकास संस्था (डीआरडीओ) ने क्षेपणास्त्र विकसित केले.	रक्षा संशोधन आणि विकास संस्था (डीआरडीओ) ने क्षेपणास्त्र विकसित केले.
850	[[0.9264777]]	From Congress, party chief Ashok Choudhary, Madan Mohan Jha, Abdul Jalil Mastan and Awdesh Kumar Singh were sworn in.	काँग्रेसकडून पक्षाचे प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेशकुमार सिंग यांना मंत्रीपदाची शपथ देण्यात आली.	0.9264777	True	True	काँग्रेसपासून पक्षाचे मुख्य आशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेश कुमार सिंग यांनी शपथ घेतली.	कॉंग्रेसकडून पक्षप्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवधेश कुमार सिंह यांनी शपथ घेतली.	काँग्रेस मधून, पक्ष प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवधेश कुमार सिंह यांना शपथ दिली गेली.
870	[[0.9502048]]	Prime Minister's Office PM to participate in Buddha Jayanti Celebrations in New Delhi tomorrow On the occasion of Buddha Jayanti, Prime Minister Narendra Modi will join the celebrations at Indira Gandhi Indoor Stadium, in the Capital on Monday, 30th April, 2018.	पंतप्रधान कार्यालय नवी दिल्ली येथे उद्या बुद्ध जयंती उत्सवात पंतप्रधानांचा सहभाग नवी दिल्ली, 29 एप्रिल 2018 बुद्ध जयंतीच्या निमित्ताने, पंतप्रधान नरेंद्र मोदी सोमवारी, 30 एप्रिल, 2018 रोजी राजधानीत इंदिरा गांधी इनडोअर स्टेडियमच्या कार्यक्रमात सहभागी होणार आहेत.	0.9502048	True	True	मुख्यमंत्री कार्यालय PM उद्घाटन, नवी दिल्लीत उद्घाटनागरी उत्सवात सहभाग घेणार आहे उद्घाटन भगवान जयंतीच्या दिवशी, मुख्यमंत्री नरेंद्र मोदी उद्घाटन सोहळ्यात सामील होईल इंदिरा गांधी इंडोर स्टेडियमवर, राजधानीत, सोमवार, ३० एप्रिल, २०१८.	पंतप्रधान कार्यालय: पंतप्रधान उद्या नवी दिल्लीतील बुद्ध जयंती उत्सवात सहभागी होणार आहेत. बुद्ध जयंतीच्या निमित्ताने पंतप्रधान नरेंद्र मोदी सोमवार, ३० एप्रिल, २०१८ रोजी राजधानीतील इंदिरा गांधी इनडोअर स्टेडियममध्ये होणाऱ्या उत्सवात सहभागी होतील.	पंतप्रधान कार्यालय : पंतप्रधान बुद्ध जयंती साजरीकरणात उद्या नवी दिल्लीत सहभागी होणार ; बुद्ध जयंतीच्या निमित्ताने पंतप्रधान नरेंद्र मोदी ३० एप्रिल, २०१८ रोजी इंदिरा गांधी इनडोर स्टेडियम, नवी दिल्ली येथे साजरीकरणात सहभागी होणार.
955	[[0.9132027]]	Talking about the film, Anuradha Aggarwal, Head - Infotainment, English, and Kids, Star India, said, In our upcoming film The Next Frontier: Indias Smart Cities, we will showcase a national initiative that has transformed the lives of people across four lighthouse cities.	चित्रपटाविषयी बोलताना, स्टार इंडियाच्या इंफोटेनमेंट, इंग्लिश आणि किड्सच्या प्रमुख अनुराधा अग्रवाल म्हणाल्या, आमचा आगामी चित्रपट ‘द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज’ मध्ये आम्ही या चार शहरांमधील लोकांच्या जीवनात बदल घडवून आणणाऱ्या राष्ट्रीय उपक्रमा विषयी दाखविले आहे.	0.9132027	True	True	"चित्रपटाबद्दल बोलताना, स्टार इंडिया च्या मुख्य - इन्फोटेनमेंट, इंग्लिश आणि किड्स, अनुराधा अग्गरवाल म्हणाली, ""आमच्या परतयात चित्रपट The Next Frontier: भारताच्या स्मार्ट शहरांना, आम्ही चार लाईटहाउस शहरांतील लोकांच्या जीवनांचे रूपंतर करणारा राष्ट्रीय पहाट दाखवू."""	चित्रपटाबद्दल बोलताना, अनुराधा अ‍ॅगरवाल, प्रमुख - इन्फोटेनमेंट, इंग्रजी आणि मुलं, स्टार इंडिया म्हणाल्या, “आमच्या आगामी चित्रपट 'द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज' मध्ये, आम्ही एका राष्ट्रीय उपक्रमाचे दर्शन घडवणार आहोत ज्याने चार प्रमुख शहरांतील लोकांचे जीवन बदलून टाकले आहे.”	चित्रपटाबद्दल बोलताना, स्टार इंडियाच्या इंफोटेनमेंट, इंग्रजी आणि किड्सच्या हेड अनुराधा अग्रवाल म्हणाल्या, आमच्या आगामी चित्रपट 'द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज' मध्ये आम्ही चार लाइटहाउस सिटीजमधील लोकांच्या जीवनात बदल घडवून आणलेल्या राष्ट्रीय उपक्रमाचे दर्शन घडवून आणू.
973	[[0.90455645]]	However, the courts rejected both applications.	मात्र, न्यायालयाने त्यांच्या या दोन्ही मागण्या फेटाळून लावल्या आहेत.	0.90455645	False	True	तर, न्यायालयाने दोन्ही अर्जांना नाकारलं.	तथापि, न्यायालयांनी दोन्ही अर्ज फेटाळले.	मात्र, न्यायालयांनी दोन्ही अर्जांना नकार दिला.
985	[[0.9351057]]	His family consists of wife, four daughters and a son.	त्यांच्या मागे पत्नी, एक मुलगा, चार मुली असा परिवार आहे.	0.9351057	True	True	त्याच्या कुटुंबात पत्नी, चार मुलगी आणि एक मुलगा आहेत.	त्याच्या कुटुंबात पत्नी, चार मुली आणि एक मुलगा आहे.	त्याच्या कुटुंबात पत्नी, चार मुली आणि एक मुल आहे.
1024	[[0.9161793]]	India and Uzbekistan sign Security Cooperation Agreement	भारत आणि उजबेकिस्तान यांच्यामध्ये सुरक्षा सहकार्य सामंजस्य करारावर स्वाक्षरी	0.9161793	False	True	भारत आणि उझबेकिस्तान कमांडवारी सहकार्य समझूती दाखल केली.	भारत आणि उज्बेकिस्तान यांनी सुरक्षा सहकार्य करारावर स्वाक्षरी केली.	भारत आणि उझबेकिस्तान सुरक्षा सहकार्य करारावर स्वाक्षरी करतात
1057	[[0.92162085]]	The court awarded the accused two life sentences under relevant sections of the Indian Penal Code for attempting to rape and injury with intent to rob.	बलात्काराचा प्रयत्न केल्याबद्दल आणि चोरीच्या उद्धेशाने दुखापत केल्याबद्दल कोर्टाने आरोपींना भारतीय दंड संहितेच्या संबंधित कलमांतर्गत दोन जन्मठेपेची शिक्षा सुनावल्या.	0.92162085	True	True	न्यायालयाने अभियुक्ताला भारतीय दंड संहितेच्या उचित धारांच्या तहानी जीवनदंडाच्या दोन शिकार केल्या आणि चोरी करण्याच्या इच्छेने दुरुस्तीसह दुखावून चिरकित करण्याचे दोष देण्यात आले.	कोर्टाने आरोपीला बलात्काराचा प्रयत्न आणि लुटण्याच्या उद्देशाने जखमी केल्याबद्दल भारतीय दंड संहितेच्या संबंधित कलमांखाली दोन जन्मठेपीची शिक्षा सुनावली.	भारतीय दंड संहितेच्या संबंधित कलमांतर्गत बलात्कार प्रयत्न आणि लूटसाठी जखमी करण्याच्या उद्देशाने आरोपीला न्यायालयाने दोन आजन्म कारावासाची शिक्षा दिली.
1066	[[0.9183357]]	The makers have decided to make the film in Telugu, Hindi and English besides dubbing in Tamil.	हा चित्रपट हिंदीसह हिंदीसह तेलुगू आणि तमिळ भाषेतही रिलीज करण्याचा निर्णय निर्मात्यांनी घेतला आहे.	0.9183357	True	True	निर्माते तेलुगू, हिंदी आणि इंग्लिश मध्ये चित्रपट बनवायला निर्णय घेतला आहे तसेच तमिळमध्ये डबिंग केल्याचे आहे.	निर्मात्यांनी हा चित्रपट तेलुगू, हिंदी आणि इंग्रजी भाषांमध्ये बनवण्याचा निर्णय घेतला आहे आणि त्याला तमिळमध्ये डब करण्याचाही निर्णय घेतला आहे.	निर्मात्यांनी तेलुगु, हिंदी आणि इंग्रजी या भाषांमध्ये चित्रपट तयार करण्याचा निर्णय घेतला आहे आणि तमिळमध्ये डबिंग करण्याचा निर्णय घेतला आहे.
1091	[[0.904533]]	The film starred Shraddha Kapoor, Neil Nitin Mukesh, Jackie Shroff, Mandira Bedi, Mahesh Manjrekar, Chunky Pandey, and Arun Vijay in pivotal roles.	या चित्रपटात प्रभास, श्रद्धा कपूर, नील नितीन मुकेश, अरुण विजय, जॅकी श्रॉफ, मंदिरा बेदी, चंकी पांडे, महेश मांजरेकर आणि मुरली शर्मा यांनी भूमिका केल्या आहेत.	0.904533	True	True	सिनेमा मध्ये श्रद्धा कपूर, नील नितिन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, चंकी पांडे, आणि अरुण विजय मुख्य भूमिकेत आले.	या चित्रपटात श्रद्धा कपूर, नील नितीन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, chunk पांडे आणि अरुण विजय यांनी महत्त्वपूर्ण भूमिका केल्या आहेत.	चित्रपटात श्रद्धा कपूर, नील नितीन मुकेश, जॅकी श्रॉफ, मंदिरा बेदी, महेश मांजरेकर, चंकी पांडे, आणि अरुण विजय यांनी महत्त्वाच्या भूमिका साकारल्या.
1139	[[0.9093217]]	The Reserve Bank of India (RBI) will launch new rs 10 notes very soon.	भारतीय रिझर्व्ह बँक (आरबीआय) लवकरच दहा रुपयांच्या नवीन नोटा चलनात आणणार आहे. भारतीय रिझर्व्ह बँक महात्मा गांधींच्या सीरिजमधल्या 10 रुपयांच्या नव्या…	0.9093217	True	True	भारतीय रिझर्व बँक (आरबीआय) लवकरच नवीन रु. 10 चे नोट सुरू करेल.	भारतीय रिझर्व्ह बँक (RBI) लवकरच नवीन १० रुपयांच्या नोटा जारी करणार आहे.	भारतीय रिझर्व बँक (आरबीआई) लवकरच नवीन १० रुपयांच्या नोटा सुरू करणार आहे.
1151	[[0.9297354]]	Anil Kapoor and Kunal Kemmu are also in the movie.	याशिवाय अनिल कपूर आणि कुणाल खेमू यांच्याही चित्रपटात भूमिका आहेत.	0.9297354	True	True	अनिल कपूर आणि कुणाल केममू ही चित्रपटात आहेत.	अनिल कपूर आणि कुणाल खेमू देखील या चित्रपटात आहेत.	अनिल कपूर आणि कुणाल खेमू ही चित्रपटात आहेत.
1193	[[0.9138905]]	The Bench also includes Justice SA Bobde, Justice DY Chandrachud, Justice Ashok Bhushan and Justice Abdul Nazeer.	बोबडे, न्यायमूर्ती डीवाय चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती एस. ए. नजीर यांचाही समावेश आहे.	0.9138905	True	True	बेंचमध्ये न्यायाधीश एसए बोबडे, न्यायाधीश डीव्हाय चंद्रचूड, न्यायाधीश अशोक भूषण आणि न्यायाधीश अब्दुल नजीर असले.	बेंचमध्ये न्यायमूर्ती एस. ए. बोबडे, न्यायमूर्ती डी. वाय. चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती अब्दुल नजीर यांचा समावेश आहे.	बेंचमध्ये न्यायमूर्ती एसए बोबडे, न्यायमूर्ती डी वाय चंद्रचूड, न्यायमूर्ती अशोक भूषण आणि न्यायमूर्ती अब्दुल नजीर यांचा समावेश आहे.
1214	[[0.9260756]]	Our chief Nitish Kumar is carrying forward the tradition of J.P. Narayan, Ram Manohar Lohia and George Fernandes.	आम्ही आमचे प्रमुख नितीश कुमार, जेपी नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांची परंपरा पुढे आणत आहे.	0.9260756	True	True	आमच्या मुख्यमंत्री नीतीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिसच्या परंपरेचा मार्गदर्शन करीत आहे.	आमचे प्रमुख नितीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांची परंपरा पुढे नेत आहेत.	आमचा मुख्यमंत्री नितीश कुमार जे.पी. नारायण, राम मनोहर लोहिया आणि जॉर्ज फर्नांडिस यांची परंपरा पुढे चालवत आहे.
1247	[[0.92522174]]	The film is based on the life of a mathematics genius Anand Kumar.	हा सिनेमा गणितज्ञ आनंद कुमार यांच्या जीवनावर आधारीत आहे.	0.92522174	True	True	चित्रपटात गणित चमत्कारी आनंद कुमारच्या जीवनावर आधारित आहे.	चित्रपट गणितातील प्रतिभावंत आनंद कुमार यांच्या जीवनावर आधारित आहे.	चित्रपट आनंद कुमार नावाच्या गणित प्राध्यापकाच्या जीवनावर आधारित आहे.
1290	[[0.9070339]]	It increased the price of diesel by Rs 2.30 per litre.	तर डिझेलच्या किमतीतही 2.30 रुपये प्रतिलिटरची वाढ करण्यात आली आहे.	0.9070339	True	True	डीझलच्या दराला प्रति लिटर रुपये २.३० वर वाढ झाली.	यामुळे डिझेलच्या दरात प्रति लिटर 2.30 रुपयांनी वाढ झाली.	डिझेलच्या लिटरच्या किमतीत रु. २.३० वाढवले.
1294	[[0.9016307]]	Ministry of Earth Science Cyclone Nisarga to cross near Alibag Wednesday afternoon NDRF begins awareness drive in coastal districts of Maharashtra Mumbai June 2, 2020 14.00 hrs Indian Meteorological Department has said that the Deep Depression over Arabian Sea is very likely to intensify into a cyclonic storm this afternoon and further into a severe cyclonic storm later tonight.	भूविज्ञान मंत्रालय निसर्ग चक्रीवादळ बुधवार दुपारी अलिबाग जवळून जाणार महाराष्ट्राच्या किनारी जिल्ह्यात एनडीआरएफची जागरूकता मोहीम मुंबई, 2 जून 2020 अरबी समुद्रात निर्माण झालेल्या कमी दाबाच्या पट्ट्याचे आज दुपारपर्यंत चक्रीवादळात आणि नंतर रात्री तीव्र चक्रीवादळात रुपांतर होण्याची दाट शक्यता भारतीय हवामान खात्याने वर्तवली आहे.	0.9016307	True	True	पृथ्वी विज्ञान मंत्रालयचे साइक्लोन निसर्ग बुधवार दुपारी अलिबागजवर पार करणार NDRF महाराष्ट्रच्या तटीय जिल्ह्यांमध्ये सचेतता अभियान सुरू करतो मुंबई २ जून, २०२० १४.०० वाजता भारतीय मौसम विभागाने म्हणालं की अरबी समुद्रावरील गहिर प्रभाव आज दुपारी सायंकाळी एक चक्रवात तयार होऊ शकतो आणि नंतर रात्रीच्या उद्यापासून एक गंभीर चक्रवाती आणू शकतो.	पृथ्वी विज्ञान मंत्रालय चक्रीवादळ निसर्ग बुधवार दुपारी अलिबागजवळून जाणार आहे. एनडीआरएफने महाराष्ट्राच्या किनारपट्टी जिल्ह्यांमध्ये जनजागृती मोहीम सुरू केली आहे. मुंबई, २ जून २०२०, १४.०० वाजता भारतीय हवामान विभागाने सांगितले की अरबी समुद्रातील खोल दाबाचे क्षेत्र आज दुपारपर्यंत चक्रीवादळात आणि नंतर रात्री उशिरा तीव्र चक्रीवादळात परिवर्तित होण्याची शक्यता आहे.	पृथ्वी विज्ञान मंत्रालय : निसर्गा चक्रीवादला अलिबागजवळ बुधवारी दुपारी किनारपट्टी जिल्ह्यातील एनडीआरएफ जागरूकता मोहीम सुरू करीत आहे. मुंबई, २ जून २०२०, १४.०० वा. भारतीय मौसम विज्ञान विभागाने सांगितले की अरबी समुद्रावरील खोल निम्न दाब क्षेत्र आज दुपारी चक्रीवादला रूपांतरित होण्याची शक्यता आहे आणि रात्री उशिरा ते गंभीर चक्रीवादला रूपांतरित होण्याची शक्यता आहे.
1414	[[0.90023935]]	While I was there, Brother Nathan Knorr and other responsible brothers interviewed me regarding the possibility of opening a branch office in Alaska.	तिथे असताना, बंधू नेथन नॉर आणि इतर जबाबदार पदी असलेल्या बांधवांनी, अलास्कात शाखा दफ्तर उघडण्याच्या शक्यतेबाबत माझी मुलाखत घेतली.	0.90023935	True	True	मी तिथे होतो त्यांनी भाई नेथन नोर आणि इतर जबाबदार भाईयांनी माझ्याशी मुलाखत केली आहे ज्यामुळे अलस्कात एक शाखा कार्यालय उघडण्याची संभावना आहे.	मी तिथे असताना, ब्रदर नॅथन नॉर आणि इतर जबाबदार भाऊ यांनी अलास्कामध्ये शाखा कार्यालय उघडण्याच्या शक्यतेबद्दल माझी मुलाखत घेतली.	तेथे असताना, बंधु नाथन क्नोर आणि इतर जबाबदार बंधूंनी अलास्कामध्ये शाखा कार्यालय सुरू करण्याची शक्यता विचारात घेऊन मला मुलाखत घेतली.
1420	[[0.93553084]]	This propelled petrol price in Delhi to Rs 82.03 per litre and diesel to Rs 73.82.	या दरवाढीमुळे दिल्लीत पेट्रोल दर 82.03 रुपये प्रति लिटर आहे तर डिझेलची किंमत प्रति लिटर 73.82 रुपये आहे.	0.93553084	True	True	ह्यामुळे दिल्लीतील पेट्रोलची किंमत प्रति लिटर Rs 82.03 व डीझेलची किंमत Rs 73.82 वर पोहोचली.	यामुळे दिल्लीत पेट्रोलचा दर प्रति लिटर ८२.०३ रुपये आणि डिझेलचा दर ७३.८२ रुपये झाला.	हे दिल्लीत पेट्रोलची किंमत ८२.०३ रुपये प्रति लिटर आणि डिझेलची किंमत ७३.८२ रुपये प्रति लिटरवर नेले.
1497	[[0.92555314]]	She was also a member of Durga Vahini, women's wing of Hindu organisation Bajrang Dal.	त्या हिंदू बजरंग दलाच्या महिला संघटनेच्या दुर्गा वाहिनीचीही सदस्य होत्या.	0.92555314	True	True	ती हिंदू संघटना बजरंग दलचे महिलांचे पक्ष दुर्गा वाहिनीचे सदस्य होती.	ती दुर्गा वाहिनीची सदस्या होती, जी हिंदू संघटना बजरंग दलची महिला शाखा आहे.	ती दुर्गा वाहिनी, हिंदू संघटना बजरंग दलाची स्त्री शाखा, ची सदस्या होती.
1499	[[0.90897787]]	iPhone 11 will be available in six colours purple, white, green, yellow, black, and red.	आयफोन ११ ब्लॅक, व्हाईट, लव्हेंडर, रेड, ग्रीन व यलो कलरमध्ये मिळणार आहे.	0.90897787	True	True	आयफोन ११ सहा रंगांत उपलब्ध होईल पर्पल, व्हायट, हिरवा, पिवळा, काळा आणि लाल.	iPhone 11 सहा रंगांमध्ये उपलब्ध असेल: जांभळा, पांढरा, हिरवा, पिवळा, काळा आणि लाल.	आयफोन ११ सहा रंगात उपलब्ध असेल - जांभळा, पांढरा, हिरवा, पिवळा, काळा आणि लाल.
1500	[[0.90652597]]	And this is life eternal, that they might know thee the only true God, and Jesus Christ, whom thou hast sent.	आणि अनंतकाळचे जीवन हेच की, तू जो एकच खरा देव त्या तुला व ज्याला तू पाठविलेस त्या येशू ख्रिस्ताला त्यांनी ओळखावे.	0.90652597	True	True	आणि हे चिरंतन जीवन आहे, त्यांना तुझं एकजीव देव आणि जेसस क्राइस्त ज्ञात असणं त्यानं तुझ्याकडून पाठवलं आहे.	आणि हेच अनंत जीवन आहे, की त्यांनी तुला, जो एकमेव खरा देव आहे, आणि येशू ख्रिस्ताला, ज्याला तुला पाठविले आहे, ओळखावे.	आणि हे चिरंजीव जीवन आहे, की त्यांना तुमच्या एकमेव खर्या देवाचे आणि तुमच्या पाठवलेल्या येशू ख्रिस्ताचे ओळख असावे.
1503	[[0.9424279]]	Congress leader Navjot Singh Sidhu has resigned from Punjab cabinet.	काँग्रेस नेते नवज्योत सिंग सिद्धू यांनी आपल्या पंजाबच्या मंत्रिमंडळातून मंत्रिपदाचा राजीनामा दिला आहे.	0.9424279	True	True	काँग्रेस नेते नवजोत सिंह सिद्धूने पंजाब मंत्रिमंडळातून राजीनामा दिलं.	काँग्रेस नेते नवज्योत सिंग सिद्धू यांनी पंजाब मंत्रिमंडळातून राजीनामा दिला आहे.	काँग्रेस नेते नवजोत सिंह सिद्धू यांनी पंजाब मंत्रिमंडळातून राजीनामा दिला आहे.
1508	[[0.91719604]]	He posted the video on his Twitter account.	आपल्या ट्विटर अकाउंटवरून त्याने हा व्हिडीओ पोस्ट केला आहे.	0.91719604	False	True	त्याने त्याच्या ट्विटर खात्यावर व्हिडिओ पोस्ट केलं.	त्याने त्याच्या ट्विटर खात्यावर व्हिडिओ पोस्ट केला.	त्याने त्याच्या ट्विटर अकाउंटवर व्हिडिओ पोस्ट केला.
1547	[[0.9198151]]	The National Highway 1 between Srinagar and Leh in the western section of the Himalayan mountain range traverses the pass.	हिमालयीन पर्वतरांगाच्या पश्चिम भागात श्रीनगर आणि लेह दरम्यानचा राष्ट्रीय महामार्ग १ या खिंडीत आहे.	0.9198151	True	True	स्रीनगर आणि लेह यांच्या नदीतील राष्ट्रीय महामार्ग १ हिमालय पर्वतमाला उत्तरेखात्र वाहून जातो.	हिमालय पर्वत श्रेणीच्या पश्चिम भागातील श्रीनगर आणि लेह दरम्यानचा राष्ट्रीय महामार्ग 1 हा दर्र्याच्या मधून जातो.	हिमालय पर्वतरांगेच्या पश्चिम विभागात श्रीनगर आणि लेह यांच्यातील राष्ट्रीय महामार्ग १ हा दर्रा ओलांडतो.
